finished generation: 0, fitness: best 35.55673105987118, average inf, median 97.7106392897876 

finished generation: 2, fitness: best 34.904552417837344, average inf, median 35.68419969839625 

finished generation: 4, fitness: best 34.904552417837344, average inf, median 35.55673105987118 

finished generation: 6, fitness: best 34.904552417837344, average inf, median 35.55673105987118 

finished generation: 8, fitness: best 31.29510742518486, average inf, median 35.55673105987118 

finished generation: 10, fitness: best 29.053119021879702, average inf, median 35.55673105987118 

finished generation: 12, fitness: best 29.053119021879702, average inf, median 35.55673105987118 

finished generation: 14, fitness: best 29.053119021879702, average inf, median 35.55673105987118 

finished generation: 16, fitness: best 29.030910140693216, average inf, median 35.55673105987118 

finished generation: 18, fitness: best 29.030910140693216, average inf, median 35.55673105987118 

finished generation: 20, fitness: best 29.030910140693216, average inf, median 35.55673105987118 

finished generation: 22, fitness: best 29.030910140693216, average inf, median 35.55673105987118 

finished generation: 24, fitness: best 29.030910140693216, average inf, median 35.55673105987118 

finished generation: 26, fitness: best 28.321970993721536, average inf, median 35.55673105987118 

finished generation: 28, fitness: best 28.321970993721536, average inf, median 35.55673105987118 

finished generation: 30, fitness: best 28.321970993721536, average inf, median 35.55673105987118 

finished generation: 32, fitness: best 28.321970993721536, average inf, median 35.55673105987118 

finished generation: 34, fitness: best 27.471292632795315, average inf, median 35.55673105987118 

finished generation: 36, fitness: best 27.313092026231626, average inf, median 35.55673105987118 

finished generation: 38, fitness: best 27.313092026231626, average inf, median 35.55673105987118 

finished generation: 40, fitness: best 27.313092026231626, average inf, median 35.55673105987118 

finished generation: 42, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 44, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 46, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 48, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 50, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 52, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 54, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 56, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 58, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 60, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 62, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 64, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 66, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 68, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 70, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 72, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 74, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 76, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 78, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 80, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 82, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 84, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 86, fitness: best 26.501222767152377, average inf, median 35.55673105987118 

finished generation: 88, fitness: best 24.41400091574712, average inf, median 35.55673105987118 

finished generation: 90, fitness: best 24.41400091574712, average inf, median 35.55673105987118 

finished generation: 92, fitness: best 24.41400091574712, average inf, median 35.55673105987118 

finished generation: 94, fitness: best 24.41400091574712, average inf, median 35.55673105987118 

finished generation: 96, fitness: best 24.41400091574712, average inf, median 35.55673105987118 

finished generation: 98, fitness: best 24.41400091574712, average inf, median 35.55673105987118 

Printing effective instructions for individual 649,2,1,1,3,2,3,2,1,2,2,1,2,1,1,1,5,1,5,1,1,2
R1 = 8 / INP0
R1 = 8 - R1
R0 = R1 - INP1

